file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
5176	47716	KASUMIGAURA AB	36.03472222222222	140.1927777777778	28.91	36 02 05N	140 11 34E	2.5	[36.03, 36.03]	[140.22, 140.22]	OSCAR	0-20000-0-47716		0-20000-0-47716	1922-04-22	1956-10-30	999	999	False	0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47646	TATENO	36.058055555555555	140.12583333333333	27.38	36 03 29N	140 07 33E	9.0	[36.03, 36.03]	[140.22, 140.22]	OSCAR	0-20000-0-47646		0-20000-0-47646	1922-04-22	1956-10-30	999	999	True	0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47628	KAKIOKA	36.23222222222223	140.1863888888889		36 13 56N	140 11 11E	22.6	[36.03, 36.03]	[140.22, 140.22]	OSCAR	0-20000-0-47628		0-20000-0-47628	1922-04-22	1956-10-30	999	999	False	0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47715	HYAKURI AB	36.181666666666665	140.41472222222222	35.61	36 10 54N	140 24 53E	24.3	[36.03, 36.03]	[140.22, 140.22]	OSCAR	0-20000-0-47715		0-20000-0-47715	1922-04-22	1956-10-30	999	999	False	0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47646	TATENO	36.0581	140.1258	25.2			9.0	[36.03, 36.03]	[140.22, 140.22]	IGRA2			0-20300-0-47646	1922-04-22	1956-10-30	1949	2021	True	0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176									[36.03, 36.03]	[140.22, 140.22]	WBAN			0-20500-0-nan	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	5176	Kasumigaura	36.03	140.22	21			0.0	[36.03, 36.03]	[140.22, 140.22]	CHUAN		-999	0-20400-0-5176	1922-04-22	1956-10-30	-999-999	-999-999		0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	5356	Tateno	36.05	140.13	26			8.4	[36.03, 36.03]	[140.22, 140.22]	CHUAN		-999	0-20400-0-5356	1922-04-22	1956-10-30	-999-999	-999-999		0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	5357	Tateno	36.05	140.13	25			8.4	[36.03, 36.03]	[140.22, 140.22]	CHUAN		-999	0-20400-0-5357	1922-04-22	1956-10-30	-999-999	-999-999		0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47716	Kasumigaura, Japan	36.03	140.2	-999			1.8	[36.03, 36.03]	[140.22, 140.22]	SCHROEDER		47716	0-20600-0-47716	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47647	(made up station ID) Tsukuba (Tateno - Meteorological Observatory) ozonesondes, Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.05	140.13	-999			8.4	[36.03, 36.03]	[140.22, 140.22]	SCHROEDER		47647	0-20600-0-47647	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47646	Tsukuba (Tateno - Meteorological Observatory), Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.05	140.13	-999			8.4	[36.03, 36.03]	[140.22, 140.22]	SCHROEDER		47646	0-20600-0-47646	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47320	(made up station ID) Tsukuba (Tateno - Meteorological Observatory) wind profiler, Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.055	140.124	-999			9.1	[36.03, 36.03]	[140.22, 140.22]	SCHROEDER		47320	0-20600-0-47320	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47321	(made up station ID) Tsukuba (Tateno - Meteorological Observatory) water vapor and aerosol Lidar, Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.0549	140.1242	-999			9.1	[36.03, 36.03]	[140.22, 140.22]	SCHROEDER		47321	0-20600-0-47321	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47323	(made up station ID) Tsukuba (Tateno - Meteorological Observatory) tethersonde, Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.0564	140.1232	-999			9.2	[36.03, 36.03]	[140.22, 140.22]	SCHROEDER		47323	0-20600-0-47323	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176	47322	(made up station ID) Tsukuba (Tateno - Meteorological Observatory) radioactivity sonde, Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.05	140.12	-999			9.3	[36.03, 36.03]	[140.22, 140.22]	SCHROEDER		47322	0-20600-0-47322	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176									[36.03, 36.03]	[140.22, 140.22]	WMO			0-20700-0-nan	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176									[36.03, 36.03]	[140.22, 140.22]	AMMA			0-20800-0-nan	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5176									[36.03, 36.03]	[140.22, 140.22]	HARA			0-20111-0-nan	1922-04-22	1956-10-30				0-20000-0-47646	ami	['126', '137', '106', '107', '137', '138', '139', '140', '117']
