station_id	source_uid	source_name	descriptionDataset	data_repository_ftp	wmo_id	station name	lat	lon	elev	fips_code	country	continent	station_data_policy	station_data_type	data_update_status	station_metadata_link	timestep	ver	obs_freq	obs_time_GMT	Temperature_start_year	Temperature_end_year	Wind_speed_start_year	Wind_speed_end_year	Wind_direction_start_year	Wind_direction_end_year	Dew_Point_Temperature_start_year	Dew_Point_Temperature_end_year	Frost_Point_Temperature_start_year	Frost_Point_Temperature_end_year	Relative_humidity_start_year	Relative_humidity_end_year	Ozone_concentration_start_year	Ozone_concentration_end_year	Geopotential_height_start_year	Geopotential_height_end_year	Obs_altitude_start_year	Obs_altitude_end_year	Air_pressure_start_year	Air_pressure_end_year	pointOfContact_Organisation	pointOfContact_ContactName	pointOfContact_Position	pointOfContact_MailAddress	principalInvestigator_Name	principalInvestigator_MailAddress	principalInvestigator_OnlineResource	revisionDate	creationDate	metadataStandard	alternativeMetadataReference_Title	alternativeMetadataReference_OnlineResource	referenceSystem	data_Identification	abstract	purpose	originator_Organisation	originator_Name	originator_Position	originator_MailAddress	applicationArea	stationDescription	startOfOperation	spatialExtent	spatialExtent	maintenanceAndUpdateFrequency	dataCentre	observedVariable-measurand_domain	stationPlatformModel	observedVariable-measurand_variable	stationPlatformType	temporal	featureType	useConstraints	otherConstraints	LanguageCode	characterEncoding	observedVariable-measurand_subdomain	measurementUnit_name	measurementUnit_abbreviation	temporalExtent	representativenessOfObservation	programmeNetworkAffiliation_Definition	regionOfOriginOfData	territoryOfOriginOfData_Name	territoryOfOriginOfData_ISO3CountryCode	stationPlatformUniqueIdentifier	coordinatesSourceDevice	stationStatus	sourceOfObservation	measurementObservingMethod	instrumentSpecifications	instrumentOperatingStatus	coordinatesSourceDevice	statusOfObservation	dataFormat	versionOfDataFormat	aggregationPeriod	referenceTime	qualityFlag_BUFR	qualityFlag_OGC	qualityFlaggingSystem	traceability	network_Names	network_IDs	measurementOriginalUnit_name
78861	IGRA	IGRA		IGRA			17.117	-61.783	10.0														1947-01-01	1993-12-31																																	x												35		101																																			
41217	IGRA	IGRA		IGRA			24.433	54.650	16.0														1983-01-01	2019-12-31																																	x												35		101																																			
05467	IGRA	IGRA		IGRA			25.250	55.370	4.0														1935-01-01	1942-12-31																																	x												35		101																																			
40911	IGRA	IGRA		IGRA			36.700	67.200	378.0														2010-01-01	2014-12-31																																	x												35		101																																			
40913	IGRA	IGRA		IGRA			36.667	68.917	433.0														2010-01-01	2013-12-31																																	x												35		101																																			
40938	IGRA	IGRA		IGRA			34.217	62.217	977.0														1978-01-01	1988-12-31																																	x												35		101																																			
40948	IGRA	IGRA		IGRA			34.550	69.217	1791.0														1961-01-01	2019-12-31																																	x												35		101																																			
40990	IGRA	IGRA		IGRA			31.500	65.850	1010.0														1976-01-01	2014-12-31																																	x												35		101																																			
60355	IGRA	IGRA		IGRA			36.883	6.900	3.0														1974-01-01	1976-12-31																																	x												35		101																																			
60360	IGRA	IGRA		IGRA			36.833	7.817	4.0														1973-01-01	2008-12-31																																	x												35		101																																			
60390	IGRA	IGRA		IGRA			36.683	3.217	25.0														1948-01-01	2019-12-31																																	x												35		101																																			
60402	IGRA	IGRA		IGRA			36.717	5.067	6.0														1973-01-01	1988-12-31																																	x												35		101																																			
60419	IGRA	IGRA		IGRA			36.283	6.617	694.0														1973-01-01	2008-12-31																																	x												35		101																																			
60425	IGRA	IGRA		IGRA			36.217	1.333	141.0														1973-01-01	1977-12-31																																	x												35		101																																			
60430	IGRA	IGRA		IGRA			36.300	2.233	715.0														1973-01-01	1990-12-31																																	x												35		101																																			
60445	IGRA	IGRA		IGRA			36.183	5.250	1040.0														1983-01-01	1989-12-31																																	x												35		101																																			
60475	IGRA	IGRA		IGRA			35.417	8.117	811.0														1974-01-01	1991-12-31																																	x												35		101																																			
60490	IGRA	IGRA		IGRA			35.633	-0.600	90.0														1973-01-01	2008-12-31																																	x												35		101																																			
60511	IGRA	IGRA		IGRA			35.350	1.467	989.0														1987-01-01	1988-12-31																																	x												35		101																																			
60525	IGRA	IGRA		IGRA			34.800	5.733	87.0														1973-01-01	2002-12-31																																	x												35		101																																			
60535	IGRA	IGRA		IGRA			34.683	3.250	1144.0														1974-01-01	1989-12-31																																	x												35		101																																			
60549	IGRA	IGRA		IGRA			33.533	-0.283	1123.0														1982-01-01	2012-12-31																																	x												35		101																																			
60550	IGRA	IGRA		IGRA			33.683	1.000	1341.0														1977-01-01	1991-12-31																																	x												35		101																																			
60559	IGRA	IGRA		IGRA			33.500	6.783	63.0														1973-01-01	2008-12-31																																	x												35		101																																			
60566	IGRA	IGRA		IGRA			32.383	3.817	450.0														1973-01-01	2008-12-31																																	x												35		101																																			
60571	IGRA	IGRA		IGRA			31.500	-2.250	811.0														1948-01-01	2019-12-31																																	x												35		101																																			
60580	IGRA	IGRA		IGRA			31.933	5.400	152.0														1963-01-01	1997-12-31																																	x												35		101																																			
60590	IGRA	IGRA		IGRA			30.567	2.867	397.0														1973-01-01	2008-12-31																																	x												35		101																																			
60602	IGRA	IGRA		IGRA			30.133	-2.167	505.0														1981-01-01	1990-12-31																																	x												35		101																																			
60607	IGRA	IGRA		IGRA			29.250	0.283	312.0														1973-01-01	1991-12-31																																	x												35		101																																			
60611	IGRA	IGRA		IGRA			28.050	9.633	563.0														1973-01-01	1989-12-31																																	x												35		101																																			
60620	IGRA	IGRA		IGRA			27.883	-0.283	263.0														1973-01-01	2008-12-31																																	x												35		101																																			
60625	IGRA	IGRA		IGRA			26.967	1.083	309.0														1949-01-01	1962-12-31																																	x												35		101																																			
60630	IGRA	IGRA		IGRA			27.233	2.500	273.0														1964-01-01	2019-12-31																																	x												35		101																																			
60640	IGRA	IGRA		IGRA			26.500	8.417	558.0														1973-01-01	1986-12-31																																	x												35		101																																			
60656	IGRA	IGRA		IGRA			27.700	-8.167	443.0														1973-01-01	2019-12-31																																	x												35		101																																			
60670	IGRA	IGRA		IGRA			24.267	9.467	968.0														1973-01-01	1985-12-31																																	x												35		101																																			
60678	IGRA	IGRA		IGRA			23.817	5.150	1006.0														1964-01-01	1965-12-31																																	x												35		101																																			
60680	IGRA	IGRA		IGRA			22.800	5.433	1377.0														1934-01-01	2019-12-31																																	x												35		101																																			
60686	IGRA	IGRA		IGRA			21.333	0.950	398.0														2011-01-01	2012-12-31																																	x												35		101																																			
04843	IGRA	IGRA		IGRA			36.770	3.050	50.0														1930-01-01	1938-12-31																																	x												35		101																																			
37575	IGRA	IGRA		IGRA			41.550	46.667	490.0														1973-01-01	1978-12-31																																	x												35		101																																			
37735	IGRA	IGRA		IGRA			40.717	46.417	311.0														1973-01-01	1982-12-31																																	x												35		101																																			
37747	IGRA	IGRA		IGRA			40.617	47.150	15.0														1973-01-01	1973-12-31																																	x												35		101																																			
37860	IGRA	IGRA		IGRA			40.533	50.000	27.0														1947-01-01	2016-12-31																																	x												35		101																																			
37895	IGRA	IGRA		IGRA			39.983	46.750	828.0														1973-01-01	1980-12-31																																	x												35		101																																			
37936	IGRA	IGRA		IGRA			39.200	45.417	885.0														1973-01-01	1980-12-31																																	x												35		101																																			
37985	IGRA	IGRA		IGRA			38.733	48.833	-11.0														1953-01-01	1997-12-31																																	x												35		101																																			
37686	IGRA	IGRA		IGRA			40.783	43.833	1512.0														1973-01-01	1976-12-31																																	x												35		101																																			
37789	IGRA	IGRA		IGRA			40.217	44.502	1134.0														1949-01-01	2019-12-31																																	x												35		101																																			
66152	IGRA	IGRA		IGRA			-7.400	20.817	776.0														1952-01-01	1975-12-31																																	x												35		101																																			
66160	IGRA	IGRA		IGRA			-8.850	13.233	74.0														1948-01-01	1993-12-31																																	x												35		101																																			
66285	IGRA	IGRA		IGRA			-11.783	19.917	1329.0														1952-01-01	1975-12-31																																	x												35		101																																			
66318	IGRA	IGRA		IGRA			-12.800	15.750	1703.0														1952-01-01	1973-12-31																																	x												35		101																																			
66390	IGRA	IGRA		IGRA			-14.933	13.567	1761.0														1973-01-01	1974-12-31																																	x												35		101																																			
66422	IGRA	IGRA		IGRA			-15.217	12.167	52.0														1954-01-01	1970-12-31																																	x												35		101																																			
05971	IGRA	IGRA		IGRA			-12.370	13.530	1.0														1952-01-01	1952-12-31																																	x												35		101																																			
91765	IGRA	IGRA		IGRA			-14.338	-170.719	5.5														1966-01-01	2019-12-31																																	x												35		101																																			
61704	IGRA	IGRA		IGRA			-14.367	-170.783	21.0														1962-01-01	1962-12-31																																	x												35		101																																			
87047	IGRA	IGRA		IGRA			-24.850	-65.483	1238.0														1965-01-01	2014-12-31																																	x												35		101																																			
87155	IGRA	IGRA		IGRA			-27.450	-59.050	53.0														1961-01-01	2019-12-31																																	x												35		101																																			
87157	IGRA	IGRA		IGRA			-27.467	-58.983	52.0														1957-01-01	1961-12-31																																	x												35		101																																			
87344	IGRA	IGRA		IGRA			-31.317	-64.217	484.0														1959-01-01	2019-12-31																																	x												35		101																																			
87418	IGRA	IGRA		IGRA			-32.833	-68.783	705.0														1974-01-01	2019-12-31																																	x												35		101																																			
87420	IGRA	IGRA		IGRA			-32.883	-68.850	827.0														1965-01-01	1973-12-31																																	x												35		101																																			
87576	IGRA	IGRA		IGRA			-34.817	-58.533	20.0														1957-01-01	2019-12-31																																	x												35		101																																			
87585	IGRA	IGRA		IGRA			-34.580	-58.480	25.0														1957-01-01	1957-12-31																																	x												35		101																																			
87596	IGRA	IGRA		IGRA			-35.367	-57.283	22.0														1975-01-01	1978-12-31																																	x												35		101																																			
87623	IGRA	IGRA		IGRA			-36.567	-64.267	190.0														1965-01-01	2019-12-31																																	x												35		101																																			
87715	IGRA	IGRA		IGRA			-38.950	-68.133	270.0														1957-01-01	2019-12-31																																	x												35		101																																			
87748	IGRA	IGRA		IGRA			-38.733	-62.167	75.0														1964-01-01	1993-12-31																																	x												35		101																																			
87827	IGRA	IGRA		IGRA			-43.233	-65.300	42.0														1973-01-01	1975-12-31																																	x												35		101																																			
87860	IGRA	IGRA		IGRA			-45.783	-67.500	58.0														1958-01-01	2019-12-31																																	x												35		101																																			
87926	IGRA	IGRA		IGRA			-51.633	-69.217	20.0														1967-01-01	1977-12-31																																	x												35		101																																			
