	station_id_igra	station_name	latitude	longitude	station_id	start_date	end_date	isRadio
0	ACM00078861	COOLIDGE FIELD (UA)	17.117	-61.783	78861	1947	1993	True
1	AEM00041217	ABU DHABI INTERNATIONAL AIRPOR	24.4333	54.65	41217	1983	2021	True
2	AEXUAE05467	SHARJAH	25.25	55.37	05467	1935	1942	True
3	AFM00040911	MAZAR-I-SHARIF	36.7	67.2	40911	2010	2014	True
4	AFM00040913	KUNDUZ	36.6667	68.9167	40913	2010	2013	True
5	AFM00040938	HERAT	34.217	62.217	40938	1978	1988	True
6	AFM00040948	KABUL AIRPORT	34.55	69.2167	40948	1961	2021	True
7	AFM00040990	KANDAHAR AIRPORT	31.5	65.85	40990	1976	2014	True
8	AGM00060355	SKIKDA	36.883	6.9	60355	1974	1976	True
9	AGM00060360	ANNABA	36.833	7.817	60360	1973	2008	True
10	AGM00060390	DAR-EL-BEIDA	36.6833	3.2167	60390	1948	2021	True
11	AGM00060402	BEJAIA-AEROPORT	36.717	5.067	60402	1973	1988	True
12	AGM00060419	CONSTANTINE	36.283	6.617	60419	1973	2008	True
13	AGM00060425	CHLEF	36.217	1.333	60425	1973	1977	True
14	AGM00060430	MILIANA	36.3	2.233	60430	1973	1990	True
15	AGM00060445	SETIF	36.183	5.25	60445	1983	1989	True
16	AGM00060475	TEBESSA	35.417	8.117	60475	1974	1991	True
17	AGM00060490	ORAN-SENIA	35.633	-0.6	60490	1973	2008	True
18	AGM00060511	TIARET	35.35	1.467	60511	1987	1988	True
19	AGM00060525	BISKRA	34.8	5.733	60525	1973	2002	True
20	AGM00060535	DJELFA	34.6833	3.25	60535	1974	1989	True
21	AGM00060549	MECHERIA	33.5333	-0.2833	60549	1982	2012	True
22	AGM00060550	EL-BAYADH	33.683	1.0	60550	1977	1991	True
23	AGM00060559	EL-OUED	33.5	6.783	60559	1973	2008	True
24	AGM00060566	GHARDAIA	32.383	3.817	60566	1973	2008	True
25	AGM00060571	BECHAR	31.5	-2.25	60571	1948	2021	True
26	AGM00060580	OUARGLA	31.9333	5.4	60580	1963	1997	True
27	AGM00060590	EL-GOLEA	30.567	2.867	60590	1973	2008	True
28	AGM00060602	BENI-ABBES	30.133	-2.167	60602	1981	1990	True
29	AGM00060607	TIMIMOUN	29.25	0.283	60607	1973	1991	True
30	AGM00060611	IN-AMENAS	28.05	9.633	60611	1973	1989	True
31	AGM00060620	ADRAR	27.883	-0.283	60620	1973	2008	True
32	AGM00060625	AOULEF	26.9667	1.0833	60625	1949	1962	True
33	AGM00060630	IN-SALAH	27.2333	2.5	60630	1964	2021	True
34	AGM00060640	ILLIZI	26.5	8.417	60640	1973	1986	True
35	AGM00060656	TINDOUF	27.7	-8.1667	60656	1973	2021	True
36	AGM00060670	DJANET	24.267	9.467	60670	1973	1985	True
37	AGM00060678	IN AMGUEL	23.8167	5.15	60678	1964	1965	True
38	AGM00060680	TAMANRASSET	22.8	5.4333	60680	1934	2021	True
39	AGM00060686	BORDJ-BADJ-MOKHTAR	21.3333	0.95	60686	2011	2012	True
40	AGXUAE04843	ALGER	36.77	3.05	04843	1930	1938	True
41	AJM00037575	ZAKATALA	41.55	46.667	37575	1973	1978	True
42	AJM00037735	GANDJA	40.717	46.417	37735	1973	1982	True
43	AJM00037747	EVLAKH AIRPORT	40.617	47.15	37747	1973	1973	True
44	AJM00037860	MASHTAGA	40.5333	50.0	37860	1947	2016	True
45	AJM00037895	KHANKANDY	39.983	46.75	37895	1973	1980	True
46	AJM00037936	NAXCIVAN	39.2	45.417	37936	1973	1980	True
47	AJM00037985	LANKARAN	38.733	48.833	37985	1953	1997	True
48	AMM00037686	GUMRI	40.783	43.833	37686	1973	1976	True
49	AMM00037789	YEREVAN AERO	40.2169	44.5017	37789	1949	2021	True
50	AOM00066152	DUNDO	-7.4	20.817	66152	1952	1975	True
51	AOM00066160	LUANDA	-8.85	13.233	66160	1948	1993	True
52	AOM00066285	LUENA (LUSO)	-11.783	19.917	66285	1952	1975	True
53	AOM00066318	HUAMBO	-12.8	15.75	66318	1952	1973	True
54	AOM00066390	LUBANGO	-14.933	13.567	66390	1973	1974	True
55	AOM00066422	MOCAMEDES	-15.2167	12.1667	66422	1954	1970	True
56	AOXUAE05971	LOBITO	-12.37	13.53	05971	1952	1952	True
57	AQM00091765	PAGO PAGO/INT.AIRP. AMERICAN S	-14.3383	-170.7192	91765	1966	2021	True
58	AQW00061704	LEONE BAY AMERICAN S	-14.3667	-170.7833	61704	1962	1962	True
59	ARM00087047	SALTA AERO	-24.85	-65.4833	87047	1965	2014	True
60	ARM00087155	RESISTENCIA AERO	-27.45	-59.05	87155	1961	2021	True
61	ARM00087157	RESISTENCIA	-27.4667	-58.9833	87157	1957	1961	True
62	ARM00087344	CORDOBA AERO	-31.3167	-64.2167	87344	1959	2021	True
63	ARM00087418	MENDOZA AERO	-32.8333	-68.7833	87418	1974	2021	True
64	ARM00087420	OBSERV MENDOZA	-32.8833	-68.85	87420	1965	1973	True
65	ARM00087576	EZEIZA AERO	-34.8167	-58.5333	87576	1957	2021	True
